Risk,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Age
1,male,2,free,little,not_known,2032,24,car,60
0,male,2,own,not_known,little,6350,30,furniture/equipment,31
0,male,1,own,little,rich,2864,18,furniture/equipment,34
1,male,1,own,little,not_known,1255,12,car,61
0,male,2,free,little,little,1333,24,car,43
1,female,2,own,little,not_known,2022,24,car,37
1,male,2,own,little,not_known,1552,24,radio/TV,32
0,female,1,own,little,little,626,12,radio/TV,24
1,male,2,free,not_known,not_known,8858,48,car,35
1,female,2,own,not_known,not_known,996,12,repairs,23
1,male,1,own,quite rich,not_known,1750,6,radio/TV,45
0,male,2,own,little,little,6999,48,radio/TV,34
1,male,2,own,moderate,moderate,1995,12,car,27
1,female,3,own,little,moderate,1199,9,education,67
0,male,2,own,little,moderate,1331,12,radio/TV,22
0,female,2,own,moderate,moderate,2278,18,car,28
0,female,2,own,not_known,not_known,5003,21,car,29
0,male,2,own,little,little,3552,24,furniture/equipment,27
0,male,1,own,little,moderate,1928,18,furniture/equipment,31
1,male,2,free,not_known,little,2964,24,car,49
0,male,1,rent,little,little,1546,24,radio/TV,24
1,female,2,own,little,rich,683,6,radio/TV,29
0,male,2,free,not_known,moderate,12389,36,car,37
1,male,3,own,not_known,moderate,4712,24,business,37
1,female,2,rent,moderate,moderate,1553,24,radio/TV,23
0,male,2,own,little,little,1372,12,car,36
1,male,2,own,rich,not_known,2578,24,radio/TV,34
1,male,2,own,not_known,moderate,3979,48,radio/TV,41
0,female,2,own,little,little,6758,48,radio/TV,31
0,female,1,rent,little,little,3234,24,furniture/equipment,23
1,male,2,own,little,not_known,5954,30,radio/TV,38
1,female,3,rent,not_known,not_known,5433,24,car,26
1,female,1,own,little,little,806,15,business,22
1,male,1,own,little,moderate,1082,9,radio/TV,27
1,female,2,own,little,not_known,2788,15,furniture/equipment,24
1,female,2,own,little,moderate,2930,12,radio/TV,27
1,female,2,own,not_known,not_known,1927,24,education,33
0,male,2,own,little,moderate,2820,36,car,27
1,male,1,own,little,not_known,937,24,education,27
0,male,2,own,little,moderate,1056,18,car,30
1,male,1,own,little,moderate,3124,12,car,49
1,female,2,rent,little,not_known,1388,9,furniture/equipment,26
0,male,1,rent,little,moderate,2384,36,repairs,33
1,female,3,free,not_known,not_known,2133,12,car,52
0,female,2,rent,little,little,2039,18,furniture/equipment,20
1,male,2,rent,little,little,2799,9,car,36
1,male,1,own,little,little,1289,12,furniture/equipment,21
0,male,1,own,little,little,1217,18,domestic appliances,47
0,male,2,own,little,little,2246,12,furniture/equipment,60
1,female,1,own,little,little,385,12,radio/TV,58
1,female,2,rent,not_known,moderate,1965,24,car,42
1,female,1,own,rich,not_known,1572,21,business,36
0,female,1,rent,little,moderate,2718,24,car,20
0,male,3,own,not_known,little,1358,24,vacation/others,40
0,female,1,own,moderate,moderate,931,6,car,32
0,female,2,rent,little,little,1442,24,car,23
0,male,1,own,little,moderate,4241,24,business,36
0,male,2,own,little,not_known,2775,18,car,31
1,male,2,free,little,not_known,3863,24,business,32
1,female,2,own,little,moderate,2329,7,radio/TV,45
0,female,2,own,little,moderate,918,9,furniture/equipment,30
0,female,1,free,little,moderate,1837,24,education,34
0,female,3,own,little,not_known,3349,36,furniture/equipment,28
1,female,2,own,little,rich,1275,10,furniture/equipment,23
1,male,2,own,quite rich,little,2828,24,furniture/equipment,22
1,male,3,own,little,not_known,4526,24,business,74
0,female,2,free,moderate,moderate,2671,36,radio/TV,50
1,male,2,own,little,not_known,2051,18,radio/TV,33
1,male,2,free,not_known,not_known,1300,15,car,45
0,female,2,own,moderate,little,741,12,domestic appliances,22
0,female,1,free,moderate,rich,1240,10,car,48
1,female,2,own,rich,little,3357,21,radio/TV,29
1,female,2,rent,little,little,3632,24,car,22
0,female,2,own,little,not_known,1808,18,furniture/equipment,22
1,male,3,own,not_known,moderate,12204,48,business,48
1,male,3,free,not_known,moderate,9157,60,radio/TV,27
1,male,2,rent,little,little,3676,6,car,37
0,female,2,rent,moderate,moderate,3441,30,furniture/equipment,21
1,male,1,own,little,not_known,640,12,car,49
1,male,2,own,little,moderate,3652,21,business,27
0,male,2,own,little,not_known,1530,18,car,32
0,male,2,own,not_known,not_known,3914,48,business,38
1,female,2,rent,little,little,1858,12,furniture/equipment,22
0,male,2,free,little,little,2600,18,radio/TV,65
1,male,2,own,not_known,not_known,1979,15,radio/TV,35
1,male,2,own,little,rich,2116,6,furniture/equipment,41
0,male,2,own,moderate,moderate,1437,9,car,29
1,male,2,own,quite rich,not_known,4042,42,furniture/equipment,36
1,male,1,own,not_known,not_known,3832,9,education,64
1,female,2,own,little,little,3660,24,radio/TV,28
0,male,2,own,little,little,1553,18,furniture/equipment,44
1,male,2,own,not_known,moderate,1444,15,radio/TV,23
0,female,2,rent,little,not_known,1980,9,furniture/equipment,19
0,female,1,own,little,moderate,1355,24,car,25
1,male,2,own,little,not_known,1393,12,education,47
1,female,2,own,quite rich,not_known,1376,24,radio/TV,28
1,male,2,own,little,not_known,15653,60,radio/TV,21
1,female,2,own,little,not_known,1493,12,radio/TV,34
0,male,2,own,little,little,4370,42,radio/TV,26
0,female,0,own,little,little,750,18,education,27
1,male,1,own,little,moderate,1308,15,repairs,38
0,male,3,own,moderate,not_known,4623,15,education,40
1,male,2,own,little,not_known,1851,24,radio/TV,33
1,male,3,own,little,little,1880,18,radio/TV,32
0,male,2,rent,not_known,not_known,7980,36,business,27
1,male,2,own,little,little,4583,30,furniture/equipment,32
0,female,2,own,quite rich,not_known,1386,12,car,26
0,male,2,free,little,rich,947,24,car,38
0,male,1,rent,little,little,684,12,education,40
1,male,3,free,little,little,7476,48,education,50
0,male,1,own,little,moderate,1922,12,furniture/equipment,37
0,male,2,own,little,little,2303,24,car,45
0,male,3,own,moderate,moderate,8086,36,car,42
1,male,2,own,little,not_known,2346,24,car,35
1,male,2,free,little,little,3973,14,car,22
0,male,1,own,little,moderate,888,12,car,41
1,male,2,own,not_known,not_known,10222,48,radio/TV,37
1,female,2,own,little,moderate,4221,30,business,28
1,male,2,own,little,moderate,6361,18,furniture/equipment,41
1,male,2,rent,little,rich,1297,12,radio/TV,23
0,male,2,own,not_known,little,900,12,car,23
1,male,2,own,little,not_known,2241,21,furniture/equipment,50
1,male,3,own,little,moderate,1050,6,furniture/equipment,35
1,female,1,own,little,rich,1047,6,education,50
1,male,3,own,little,not_known,6314,24,vacation/others,27
1,male,2,own,rich,moderate,3496,30,furniture/equipment,34
1,female,2,own,little,not_known,3609,48,business,27
0,male,2,rent,little,little,4843,12,car,43
1,male,2,own,little,rich,3017,30,radio/TV,47
1,male,1,own,moderate,not_known,4139,24,business,27
1,male,2,own,moderate,not_known,5742,36,business,31
1,male,3,own,little,not_known,10366,60,car,42
1,male,2,own,quite rich,not_known,2080,6,car,24
0,male,1,own,quite rich,not_known,2580,21,business,41
1,female,3,rent,little,not_known,4530,30,radio/TV,26
1,male,2,own,little,not_known,5150,24,furniture/equipment,33
0,male,2,own,moderate,moderate,5595,72,radio/TV,24
1,male,1,rent,little,little,2384,24,radio/TV,64
1,female,2,own,little,not_known,1453,18,radio/TV,26
1,female,2,own,little,not_known,1538,6,education,56
1,male,2,free,not_known,not_known,2279,12,radio/TV,37
1,male,2,own,little,not_known,1478,15,radio/TV,33
1,male,2,free,little,not_known,5103,24,radio/TV,47
1,male,1,own,moderate,moderate,9857,36,business,31
1,male,2,free,not_known,not_known,6527,60,car,34
1,male,2,own,not_known,rich,1347,10,radio/TV,27
1,male,2,free,moderate,moderate,2862,36,car,30
1,male,2,own,moderate,not_known,2753,9,radio/TV,35
1,male,2,own,rich,little,3651,12,car,31
1,male,2,own,little,little,975,15,furniture/equipment,25
1,female,1,own,moderate,moderate,2631,15,repairs,25
1,male,2,own,moderate,moderate,2896,24,radio/TV,29
1,male,1,own,not_known,little,4716,6,car,44
1,male,2,own,little,not_known,2284,24,radio/TV,28
1,male,2,rent,quite rich,not_known,1236,6,car,50
1,male,2,own,little,moderate,1103,12,radio/TV,29
1,female,0,own,little,not_known,926,12,car,38
1,male,2,own,little,not_known,1800,18,radio/TV,24
1,male,3,rent,little,rich,1905,15,education,40
0,female,1,rent,quite rich,not_known,1123,12,furniture/equipment,29
0,male,2,free,little,little,6331,48,car,46
1,female,2,free,moderate,rich,1377,24,radio/TV,47
1,male,2,own,moderate,moderate,2503,30,business,41
1,female,2,own,little,moderate,2528,27,business,32
1,female,2,free,quite rich,not_known,5324,15,car,35
0,male,2,own,moderate,moderate,6560,48,car,24
0,female,2,rent,little,moderate,2969,12,furniture/equipment,25
1,female,2,own,little,moderate,1206,9,radio/TV,25
1,male,1,own,little,moderate,2118,9,radio/TV,37
1,male,3,own,quite rich,not_known,629,18,radio/TV,32
0,female,2,free,little,little,1198,6,education,35
1,male,3,own,not_known,not_known,2476,21,car,46
1,male,1,own,little,little,1138,9,radio/TV,25
0,male,3,own,little,moderate,14027,60,car,27
1,male,2,own,not_known,not_known,7596,30,car,63
1,male,2,own,not_known,not_known,3077,30,radio/TV,40
1,male,3,free,little,not_known,1505,18,radio/TV,32
1,male,2,own,not_known,rich,3148,24,radio/TV,31
1,male,2,own,moderate,moderate,6148,20,car,31
0,male,3,own,little,rich,1337,9,radio/TV,34
0,female,2,rent,rich,moderate,433,6,education,24
0,female,1,own,little,little,1228,12,car,24
1,female,1,own,quite rich,moderate,790,9,radio/TV,66
0,female,2,rent,little,not_known,2570,27,car,21
1,female,1,own,rich,not_known,250,6,car,41
1,male,1,own,quite rich,not_known,1316,15,radio/TV,47
0,female,2,rent,little,little,1882,18,radio/TV,25
0,female,2,rent,little,moderate,6416,48,business,59
1,male,2,own,rich,rich,1275,24,business,36
1,male,2,own,little,moderate,6403,24,radio/TV,33
0,male,1,rent,little,little,1987,24,radio/TV,21
1,female,1,own,little,moderate,760,8,radio/TV,44
1,female,2,rent,rich,not_known,2603,24,car,28
1,female,2,own,little,not_known,3380,4,car,37
1,female,0,own,not_known,moderate,3990,36,domestic appliances,29
0,female,3,rent,little,moderate,11560,24,car,23
1,male,1,own,moderate,little,4380,18,car,35
1,male,3,own,little,not_known,6761,6,car,45
0,female,1,rent,moderate,moderate,4280,30,business,26
1,male,2,own,moderate,little,2325,24,car,32
1,male,1,own,little,moderate,1048,10,radio/TV,23
1,male,2,own,not_known,not_known,3160,21,radio/TV,41
1,male,2,own,quite rich,little,2483,24,furniture/equipment,22
1,male,3,own,not_known,little,14179,39,furniture/equipment,30
1,male,1,own,little,little,1797,13,business,28
1,female,2,rent,little,little,2511,15,car,23
0,female,1,own,little,little,1274,12,car,37
1,male,2,own,not_known,not_known,5248,21,car,26
1,male,2,own,little,not_known,3029,15,car,33
1,female,2,own,little,little,428,6,furniture/equipment,49
0,female,1,own,little,little,976,18,car,23
1,female,1,rent,moderate,moderate,841,12,business,23
1,female,2,own,little,not_known,5771,30,radio/TV,25
0,male,2,free,rich,not_known,1555,12,repairs,55
0,female,2,rent,not_known,little,1285,24,car,32
1,male,0,own,little,rich,1299,6,car,74
0,male,2,free,not_known,rich,1271,15,radio/TV,39
1,male,2,own,little,not_known,1393,24,car,31
0,male,2,own,little,little,691,12,car,35
1,female,2,own,not_known,not_known,5045,15,car,59
0,female,2,rent,little,little,2124,18,furniture/equipment,24
1,male,1,own,little,little,2214,12,radio/TV,24
0,male,3,free,not_known,not_known,12680,21,car,30
1,male,2,own,moderate,not_known,2463,24,car,27
1,male,1,own,little,moderate,1155,12,radio/TV,40
0,male,1,own,little,little,3108,30,furniture/equipment,31
1,female,2,rent,not_known,not_known,2901,10,car,31
1,male,2,rent,little,moderate,3617,12,furniture/equipment,28
1,male,1,own,little,not_known,1655,12,radio/TV,63
1,female,2,rent,not_known,little,2812,24,car,26
0,female,3,own,little,little,8065,36,education,25
1,male,3,own,little,not_known,3275,21,car,36
1,male,2,own,moderate,not_known,2223,24,radio/TV,52
1,male,0,free,quite rich,rich,1480,12,car,66
0,female,2,rent,not_known,little,1371,24,car,25
1,male,2,own,little,not_known,3535,36,car,37
1,female,2,own,little,little,3509,18,radio/TV,25
1,male,3,own,rich,not_known,5711,36,car,38
1,female,2,own,little,moderate,3872,18,repairs,67
0,male,2,own,little,moderate,4933,39,radio/TV,25
1,male,2,own,rich,not_known,1940,24,car,60
1,male,1,own,little,moderate,1410,12,education,31
0,female,1,own,moderate,moderate,836,12,car,23
1,male,3,own,not_known,moderate,6468,20,car,60
1,male,1,own,rich,moderate,1941,18,business,35
1,male,2,own,quite rich,not_known,2675,22,radio/TV,40
1,male,2,own,not_known,not_known,2751,48,car,38
0,male,2,free,little,moderate,6224,48,education,50
0,male,2,own,little,little,5998,40,education,27
0,female,2,own,little,moderate,1188,21,business,39
1,male,3,own,not_known,not_known,6313,24,car,41
1,male,2,own,not_known,not_known,1221,6,furniture/equipment,27
1,male,2,free,little,rich,2892,24,furniture/equipment,51
1,male,2,rent,quite rich,not_known,3062,24,furniture/equipment,32
1,female,2,rent,moderate,not_known,2301,9,furniture/equipment,22
0,male,2,free,not_known,little,7511,18,car,51
1,female,1,rent,little,not_known,1258,12,furniture/equipment,22
1,male,2,own,not_known,not_known,717,24,car,54
1,male,0,own,not_known,moderate,1549,9,car,35
1,male,2,free,little,not_known,1597,24,education,54
1,female,1,rent,little,moderate,1795,18,radio/TV,48
1,female,2,own,little,little,4272,20,furniture/equipment,24
1,male,2,own,not_known,not_known,976,12,radio/TV,35
1,female,0,rent,not_known,moderate,7472,12,car,24
0,male,2,own,little,little,9271,36,car,24
1,male,1,own,little,moderate,590,6,radio/TV,26
1,male,2,own,not_known,not_known,930,12,radio/TV,65
1,male,3,free,little,moderate,9283,42,car,55
0,female,0,rent,little,moderate,1778,15,car,26
1,male,2,own,little,moderate,907,8,business,26
1,male,1,own,little,moderate,484,6,radio/TV,28
0,male,2,own,little,little,9629,36,car,24
0,male,2,own,little,little,3051,48,domestic appliances,54
0,male,2,free,little,little,3931,48,car,46
1,female,2,rent,little,moderate,7432,36,car,54
1,male,2,own,quite rich,not_known,1338,6,domestic appliances,62
1,female,2,rent,little,not_known,1554,6,radio/TV,24
1,male,3,own,little,little,15857,36,vacation/others,43
0,male,2,own,little,little,1345,18,radio/TV,26
1,male,2,own,little,not_known,1101,12,car,27
1,male,2,own,little,rich,3016,12,radio/TV,24
0,male,2,own,little,little,2712,36,furniture/equipment,41
1,male,1,own,little,little,731,8,car,47
1,male,3,own,little,not_known,3780,18,furniture/equipment,35
1,male,2,own,little,little,1602,21,car,30
0,female,2,rent,little,little,3966,18,car,33
0,male,2,own,little,not_known,4165,18,business,36
0,male,2,free,not_known,little,8335,36,car,47
1,male,2,free,not_known,moderate,6681,48,business,38
1,male,2,own,quite rich,not_known,2375,24,business,44
0,female,2,rent,little,little,1216,18,car,23
0,male,2,rent,little,little,11816,45,business,29
1,female,2,own,not_known,moderate,5084,24,radio/TV,42
0,female,1,own,little,rich,2327,15,radio/TV,25
0,male,2,own,little,little,1082,12,car,48
1,female,2,own,not_known,not_known,886,12,radio/TV,21
1,female,1,rent,little,not_known,601,4,furniture/equipment,23
1,male,2,own,little,little,2957,24,car,63
1,male,2,own,little,not_known,2611,24,radio/TV,46
0,male,2,own,little,little,5179,36,furniture/equipment,29
1,male,1,own,little,not_known,2993,21,car,28
0,female,2,own,little,not_known,1943,18,repairs,23
1,male,2,own,little,not_known,1559,24,business,50
1,male,2,own,little,not_known,3422,18,furniture/equipment,47
1,male,2,own,not_known,moderate,3976,21,furniture/equipment,35
0,male,2,rent,not_known,not_known,6761,18,car,68
1,male,2,own,little,not_known,1249,24,car,28
1,male,2,own,little,little,1364,9,radio/TV,59
0,male,1,own,little,little,709,12,radio/TV,57
0,male,2,rent,little,little,2235,20,car,33
1,male,2,own,not_known,not_known,4042,24,car,43
1,male,2,free,little,not_known,1471,15,radio/TV,35
0,male,1,free,little,little,1442,18,car,32
1,male,2,own,little,not_known,10875,36,car,45
1,male,2,own,moderate,not_known,1474,24,car,33
1,female,2,own,not_known,not_known,894,10,education,40
1,male,2,free,little,not_known,3343,15,furniture/equipment,28
0,female,2,own,little,little,3959,15,car,29
1,male,2,rent,moderate,not_known,3577,9,car,26
1,male,2,own,rich,not_known,5804,24,car,27
0,male,2,own,little,not_known,2169,18,business,28
0,female,2,own,little,little,2439,24,radio/TV,35
1,male,1,own,rich,not_known,4526,27,furniture/equipment,32
0,male,1,rent,little,not_known,2210,10,furniture/equipment,25
1,female,2,rent,quite rich,not_known,2221,15,furniture/equipment,20
1,female,2,own,little,little,2389,18,radio/TV,27
1,male,2,own,little,not_known,3331,12,furniture/equipment,42
1,male,2,own,not_known,not_known,7409,36,business,37
1,female,2,rent,little,little,652,12,furniture/equipment,24
1,female,2,own,quite rich,not_known,7678,36,furniture/equipment,40
1,male,2,own,little,rich,1343,6,car,46
1,male,2,own,moderate,little,1382,24,business,26
1,female,2,own,not_known,not_known,874,15,domestic appliances,24
1,male,1,own,little,little,3590,12,furniture/equipment,29
1,female,2,own,rich,moderate,1322,11,car,40
1,male,3,free,little,little,1940,18,radio/TV,36
1,male,2,own,little,not_known,3595,36,radio/TV,28
0,male,3,free,little,little,1422,9,car,27
1,male,2,own,not_known,not_known,6742,30,radio/TV,36
1,male,3,own,little,not_known,7814,24,car,38
1,male,2,free,not_known,not_known,9277,24,car,48
1,male,2,own,not_known,moderate,2181,30,car,36
1,female,0,own,little,not_known,1098,18,radio/TV,65
0,male,2,own,little,moderate,4057,24,furniture/equipment,43
0,female,2,own,little,little,795,12,education,53
1,male,2,own,not_known,moderate,2825,24,business,34
0,male,2,own,little,moderate,15672,48,business,23
1,male,3,own,little,not_known,6614,36,car,34
1,male,2,rent,not_known,not_known,7824,28,car,40
1,male,3,own,little,little,2442,27,business,43
1,male,2,own,little,not_known,1829,15,radio/TV,46
1,male,1,own,little,little,2171,12,car,38
1,male,2,own,little,moderate,5800,36,car,34
1,male,2,own,not_known,not_known,1169,18,radio/TV,29
1,male,3,own,not_known,not_known,8947,36,car,31
1,female,3,rent,little,little,2606,21,radio/TV,28
1,female,2,own,rich,not_known,1592,12,furniture/equipment,35
1,female,1,rent,not_known,not_known,2186,15,furniture/equipment,33
0,male,2,own,little,little,4153,18,furniture/equipment,42
0,male,2,rent,little,little,2625,16,car,43
1,male,2,own,not_known,not_known,3485,20,car,44
1,male,2,free,not_known,not_known,10477,36,car,42
1,male,2,rent,not_known,not_known,1386,15,radio/TV,40
1,male,3,own,little,not_known,1278,24,radio/TV,36
1,male,3,rent,little,little,1107,12,radio/TV,20
1,male,1,own,not_known,little,3763,21,car,24
1,male,2,own,not_known,moderate,3711,36,education,27
1,female,1,own,little,not_known,3594,15,car,46
1,female,1,own,not_known,moderate,3195,9,car,33
1,female,2,own,little,not_known,4454,36,radio/TV,34
0,female,1,own,little,moderate,4736,24,furniture/equipment,25
1,female,2,own,not_known,moderate,2991,30,radio/TV,25
1,male,2,own,rich,not_known,2142,11,business,28
0,male,2,rent,little,little,3161,24,business,31
0,female,3,own,little,moderate,18424,48,vacation/others,32
1,male,2,own,moderate,not_known,2848,10,car,32
0,male,3,own,little,little,14896,6,car,68
0,male,2,own,moderate,little,2359,24,furniture/equipment,33
0,male,3,rent,little,little,3345,24,furniture/equipment,39
1,female,2,own,little,not_known,1817,18,furniture/equipment,28
1,male,3,own,quite rich,not_known,12749,48,radio/TV,37
0,female,2,rent,little,little,1366,9,radio/TV,22
1,male,2,rent,little,moderate,2002,12,car,30
0,male,2,own,little,little,6872,24,furniture/equipment,55
0,male,2,own,little,little,697,12,car,46
1,female,2,rent,little,little,1049,18,furniture/equipment,21
0,male,2,free,little,little,10297,48,car,39
1,male,2,own,not_known,not_known,1867,30,radio/TV,58
1,male,1,own,little,little,1344,12,car,43
1,male,1,own,little,little,1747,24,furniture/equipment,24
0,female,2,own,little,moderate,1670,9,radio/TV,22
1,male,2,own,little,not_known,1224,9,car,30
1,male,2,own,quite rich,not_known,522,12,radio/TV,42
1,female,2,own,little,little,1498,12,radio/TV,23
0,male,3,own,moderate,moderate,1919,30,radio/TV,30
0,female,1,own,little,rich,745,9,radio/TV,28
1,male,3,rent,little,moderate,2063,6,radio/TV,30
0,male,2,free,little,moderate,6288,60,education,42
1,male,3,own,not_known,not_known,6842,24,car,46
1,male,3,own,not_known,not_known,3527,12,car,45
1,male,1,own,little,not_known,1546,10,car,31
1,male,2,own,not_known,not_known,929,24,furniture/equipment,31
1,male,1,own,little,not_known,1455,4,car,42
1,female,2,rent,little,little,1845,15,furniture/equipment,46
1,female,2,own,quite rich,moderate,8358,48,car,30
0,male,2,free,quite rich,little,3349,24,furniture/equipment,30
1,male,3,own,not_known,not_known,2859,12,car,38
0,male,1,own,little,not_known,1533,18,furniture/equipment,43
0,male,2,own,moderate,not_known,3621,24,radio/TV,31
1,male,0,own,little,moderate,3590,18,business,40
0,male,2,own,little,little,2145,36,business,24
0,female,2,rent,quite rich,moderate,4113,24,car,28
0,female,3,own,little,not_known,10974,36,furniture/equipment,26
1,female,2,own,little,little,1893,12,car,29
1,female,3,rent,rich,little,1231,24,radio/TV,57
1,male,1,own,not_known,rich,3656,30,radio/TV,49
1,male,1,own,little,moderate,1154,9,radio/TV,37
0,male,1,own,little,little,4006,28,car,45
1,male,2,free,moderate,moderate,3069,24,furniture/equipment,30
1,male,2,rent,little,not_known,1740,6,radio/TV,30
1,male,2,own,little,moderate,2353,21,car,47
1,male,2,own,not_known,not_known,3556,15,car,29
0,male,2,own,quite rich,not_known,2397,24,radio/TV,35
1,male,1,own,little,moderate,454,6,repairs,22
1,female,2,own,not_known,moderate,1715,30,radio/TV,26
0,male,1,own,quite rich,moderate,2520,27,radio/TV,23
1,female,3,rent,little,not_known,3568,15,radio/TV,54
1,male,2,rent,not_known,not_known,7166,42,radio/TV,29
1,male,1,own,little,little,3939,11,car,40
1,male,2,own,moderate,moderate,1514,15,repairs,22
1,male,1,own,little,not_known,7393,24,car,43
0,female,0,rent,little,little,1193,24,car,29
0,male,2,rent,little,little,7297,60,business,36
1,female,2,own,little,not_known,2831,30,radio/TV,33
1,female,1,own,quite rich,rich,1258,24,radio/TV,57
1,female,2,own,little,moderate,753,6,radio/TV,64
1,male,2,own,not_known,moderate,2427,18,business,42
0,male,1,own,little,not_known,2538,24,car,47
0,male,2,rent,moderate,moderate,1264,15,car,25
0,male,2,own,little,moderate,8386,30,furniture/equipment,49
0,male,3,rent,little,not_known,4844,48,business,33
1,female,3,own,moderate,rich,2923,21,car,28
0,male,2,own,little,little,8229,36,car,26
1,male,1,own,little,not_known,2028,24,furniture/equipment,30
1,female,2,rent,little,little,1433,15,furniture/equipment,25
1,male,2,own,little,rich,6289,42,business,33
1,female,2,own,moderate,not_known,1409,13,radio/TV,64
1,male,3,free,little,little,6579,24,car,29
1,male,1,own,little,moderate,1743,24,radio/TV,48
1,male,1,own,not_known,not_known,3565,12,education,37
1,male,1,own,moderate,not_known,1569,15,radio/TV,34
1,male,1,rent,not_known,little,1936,18,radio/TV,23
1,male,3,own,little,little,3959,36,furniture/equipment,30
1,male,2,own,not_known,not_known,2390,12,car,50
1,female,1,own,little,not_known,1736,12,furniture/equipment,31
1,male,3,own,little,little,3857,30,car,40
1,male,2,own,little,not_known,804,12,radio/TV,38
0,male,2,free,little,little,1845,45,radio/TV,23
1,male,2,own,moderate,moderate,4576,45,car,27
