"short_name","nationality","overall","potential","wage_eur","value_eur","age","height_cm","weight_kg","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes"
"M. Badelj","Croatia",79,79,53000,10500000,30,186,80,69,54,66,82,66,72,64,58,82,79,54,54,66,78,64,72,56,75,69,74,76,78,62,77,68,72,77,76,76,8,9,14,15,6
"C. Tataru?anu","Romania",79,79,52000,7000000,33,196,86,13,15,15,36,11,16,11,11,36,19,46,43,51,74,38,56,65,42,73,12,33,26,13,47,16,44,12,15,12,79,77,75,78,81
"Ze Luis","Cape Verde",79,79,19000,13000000,28,184,88,45,74,83,67,75,80,66,54,44,81,81,82,64,80,61,79,92,68,83,64,76,29,78,75,75,72,36,19,24,8,11,16,10,14
"D. Suarez","Uruguay",79,79,26000,9000000,31,173,68,81,59,71,78,59,71,69,70,72,73,74,77,75,76,76,83,77,78,71,71,84,79,59,62,67,74,78,79,81,16,9,9,15,7
"Roque Mesa","Spain",79,79,32000,10500000,30,171,74,69,65,32,81,37,76,50,51,77,79,71,71,73,80,88,66,76,82,70,57,86,78,69,78,45,80,75,75,76,15,8,7,11,9
"Mario Rui","Portugal",79,79,62000,11000000,28,170,67,79,27,60,76,53,79,68,66,72,76,88,79,88,78,89,69,92,91,51,73,73,77,59,64,60,73,71,76,76,13,5,9,8,14
"T. Inui","Japan",79,79,28000,11000000,31,169,69,76,72,41,76,69,84,85,65,71,83,89,74,91,76,92,72,63,75,44,76,49,44,73,75,57,77,60,39,31,11,12,11,15,8
"D. Cheryshev","Russia",79,79,41000,12500000,28,179,74,86,78,58,76,69,79,76,61,79,78,76,77,73,78,72,81,75,71,67,84,62,62,75,78,64,70,47,58,55,16,7,14,7,8
"C. Bacca","Colombia",79,79,40000,10000000,32,181,77,60,80,75,68,77,77,69,58,55,77,69,71,68,78,74,78,72,61,72,60,58,34,87,68,80,76,40,16,14,12,12,8,5,8
"A. Samaris","Greece",79,79,15000,10500000,30,189,84,63,59,76,76,55,71,66,75,73,74,59,56,55,76,58,78,75,75,86,72,92,79,65,66,66,76,79,82,75,11,11,8,7,12
"J. Hector","Germany",79,79,32000,10500000,29,185,75,78,55,71,77,51,74,65,65,74,78,74,76,68,80,67,69,66,78,76,61,71,79,62,72,65,76,78,79,77,9,10,10,12,14
"Ruben Pena","Spain",79,79,34000,11000000,27,170,65,81,71,72,77,66,82,59,56,66,81,78,87,79,78,86,75,69,80,66,66,63,72,78,65,64,72,72,78,79,7,11,10,16,10
"A. Hamdallah","Morocco",79,79,52000,13000000,28,182,81,66,84,78,70,76,71,75,65,60,76,77,76,78,75,70,78,80,84,77,68,55,20,83,71,75,78,30,25,20,9,11,9,15,10
"D. Benedetto","Argentina",79,79,46000,12500000,29,177,80,55,81,76,71,73,74,69,60,66,78,78,81,74,74,72,83,88,68,77,77,66,35,82,69,76,81,45,25,25,10,14,12,8,11
"L. Sigali","Argentina",79,79,24000,8000000,32,181,72,40,45,79,55,29,55,31,32,49,63,69,68,59,75,61,51,92,52,80,26,80,80,45,32,42,61,81,81,79,11,8,10,15,13
"Raul","Brazil",79,79,18000,10500000,29,187,80,56,50,85,67,49,55,37,43,62,57,52,51,57,75,51,67,86,75,85,54,87,80,46,53,51,75,77,80,76,10,9,7,13,12
"Petros","Brazil",79,79,42000,10500000,30,181,77,61,65,58,81,50,76,58,49,78,78,69,70,70,76,70,80,62,90,70,65,82,80,64,75,62,79,68,80,78,16,13,9,10,14
"Dyego Sousa","Portugal",79,79,23000,12500000,29,190,83,48,83,86,64,78,74,46,34,45,77,58,53,53,77,39,83,74,84,86,75,89,25,81,53,75,68,23,22,27,15,7,12,7,9
"Soares","Brazil",79,79,19000,13000000,28,187,82,52,77,82,69,73,75,69,40,54,76,78,85,71,78,65,77,78,78,78,68,90,40,83,59,75,79,50,45,35,8,9,7,7,7
"Ruben Alcaraz","Spain",79,79,26000,12500000,28,183,81,73,66,74,80,67,70,82,83,83,76,63,64,62,79,67,85,78,84,78,81,88,83,62,77,66,77,77,83,76,10,14,9,12,13
"Maikel Catarino","Brazil",79,79,27000,3600000,35,177,75,81,48,69,73,49,78,55,49,75,77,83,76,82,81,75,52,51,85,62,56,62,77,57,61,41,54,79,78,76,15,13,12,10,15
"Antonio Chiamuloira","Brazil",79,79,30000,9500000,31,182,79,55,51,76,68,44,44,54,50,72,62,67,72,49,79,49,43,88,62,81,51,88,77,24,47,66,70,81,78,81,9,14,13,8,10
"Melvin Parrela","Brazil",79,79,17000,9500000,31,188,88,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8
"Gabri Prestao","Brazil",79,79,24000,9000000,27,186,80,8,9,7,11,8,18,12,13,12,20,58,62,66,76,43,53,60,23,60,12,35,12,5,60,15,64,22,9,16,81,75,71,77,82
"Luimo Boas Santos","Brazil",79,79,48000,11500000,31,176,73,42,79,73,74,76,82,79,60,56,78,86,82,83,82,69,75,82,80,67,82,43,20,82,75,74,73,27,20,19,9,12,8,10,9
"A. Meret","Italy",78,89,36000,14000000,22,190,83,15,17,19,29,20,16,20,21,22,22,41,48,37,74,48,53,68,29,65,17,22,22,20,21,21,67,10,21,12,79,74,70,77,82
"I. Sarr","Senegal",78,88,47000,17000000,21,185,76,68,75,44,69,76,83,78,55,59,79,95,94,79,76,74,84,48,73,66,80,53,17,75,72,58,78,25,16,21,14,13,7,6,9
"D. Rice","England",78,87,49000,15000000,20,185,80,39,31,69,79,33,67,35,32,74,74,60,63,53,74,58,46,73,78,76,42,78,77,52,70,30,76,78,79,78,8,11,14,5,9
"F. Neuhaus","Germany",78,87,26000,15500000,22,183,74,62,63,58,82,63,78,66,41,78,81,74,67,79,80,76,70,54,78,65,75,60,63,70,82,49,75,66,64,64,6,11,10,11,15
"M. Zaracho","Argentina",78,87,18000,16000000,21,171,64,66,67,49,83,58,83,65,58,73,79,89,85,93,72,92,66,60,77,56,69,60,59,70,73,57,84,65,67,62,8,14,12,6,9
"Ferro","Portugal",78,87,12000,14500000,22,192,78,30,26,77,74,28,64,33,27,73,68,44,63,41,77,51,81,66,77,74,45,84,79,52,49,38,76,81,82,74,8,7,9,13,12
"J. Andersen","Denmark",78,86,50000,14000000,23,192,90,36,40,77,68,33,48,40,36,67,64,60,60,52,73,58,48,77,66,86,38,76,77,28,48,44,71,79,79,76,13,7,9,15,14
"D. Zakaria","Switzerland",78,86,26000,15000000,22,191,80,68,66,66,81,35,76,64,46,79,80,76,86,66,75,64,71,65,78,83,61,88,80,63,76,38,74,82,81,77,12,12,7,13,11
"I. Diop","France",78,86,59000,14000000,22,194,92,37,30,75,67,48,50,32,34,63,63,64,70,52,73,47,50,74,69,84,31,78,79,42,43,44,72,78,80,81,10,7,6,14,9
"H. Onyekuru","Nigeria",78,86,35000,15500000,22,175,59,69,78,57,70,69,84,70,45,63,78,91,90,90,72,82,71,91,75,44,73,53,18,77,67,65,70,37,38,25,12,9,9,6,11
"J. Ikone","France",78,86,29000,15500000,21,175,73,68,70,39,73,57,81,78,72,65,80,90,89,92,78,79,75,36,74,53,68,65,27,75,79,66,79,32,36,36,9,8,13,8,14
"C. Under","Turkey",78,86,35000,15500000,21,173,66,83,71,58,72,69,83,80,68,65,82,85,79,84,71,82,82,48,67,51,82,27,29,73,73,64,68,43,33,30,9,13,7,9,8
"M. Odegaard","Norway",78,85,25000,14500000,20,178,68,86,64,52,82,68,86,78,79,76,87,76,72,78,74,78,76,46,72,40,75,41,48,62,84,63,78,38,35,32,14,15,15,8,10
"J. Bamba","France",78,85,35000,14500000,23,175,72,66,76,61,70,68,83,75,64,65,82,90,88,82,75,80,78,72,73,56,72,62,32,78,73,70,74,28,37,38,15,14,15,8,9
"N. Amiri","Germany",78,85,50000,14500000,22,180,73,73,65,43,79,65,85,76,71,73,81,78,69,81,75,77,70,66,76,65,70,48,62,69,78,65,69,53,57,46,12,12,14,12,10
"O. Zinchenko","Ukraine",78,85,82000,13000000,22,175,64,81,59,70,82,61,79,80,74,77,81,73,69,77,77,78,77,72,74,59,71,70,77,75,78,59,76,78,79,75,15,11,13,11,11
"J. Mateta","France",78,85,29000,15000000,22,192,88,39,81,81,65,73,76,53,32,41,72,74,88,70,76,53,73,77,65,85,63,71,26,81,59,74,66,29,31,22,8,8,7,13,11
"O. Yokuslu","Turkey",78,84,22000,13000000,25,190,79,67,65,78,79,70,73,72,65,74,78,64,72,62,72,60,79,69,88,85,75,81,76,68,71,60,73,74,77,71,12,16,10,13,7
"B. Cristante","Italy",78,84,37000,14000000,24,186,80,68,68,73,81,67,76,65,62,78,80,60,56,63,75,54,80,57,78,76,77,76,72,76,74,58,74,74,77,72,3,5,3,3,5
"L. Dendoncker","Belgium",78,84,66000,14000000,24,189,88,75,66,78,79,71,72,73,71,78,75,59,73,58,73,55,85,71,86,85,76,75,78,76,76,55,76,77,79,76,14,8,14,14,6
"M. Dahoud","Germany",78,84,58000,14000000,23,178,68,67,58,43,80,59,84,68,53,74,82,78,68,87,77,88,81,71,89,57,73,68,77,66,80,55,62,72,59,52,14,7,9,12,11
"N. Elvedi","Switzerland",78,84,24000,13000000,22,189,78,65,30,79,73,30,69,45,29,55,72,65,75,64,75,54,42,73,75,77,31,69,79,53,59,37,65,76,81,76,9,15,10,12,9
"Joelinton","Brazil",78,84,41000,14500000,22,186,81,44,80,74,73,67,77,52,38,56,78,77,79,69,72,67,81,76,75,85,62,78,45,77,64,61,73,29,48,38,9,13,8,13,13
"Daniel Podence","Portugal",78,84,1000,14000000,23,163,65,63,64,42,74,57,84,75,42,66,81,94,92,92,77,94,65,66,76,30,55,67,21,76,77,63,78,42,30,29,14,14,8,7,15
"G. Dzhikiya","Russia",78,84,1000,12500000,25,188,86,58,43,64,65,26,69,60,73,67,58,90,75,55,72,65,74,70,72,86,60,80,78,65,50,45,73,82,77,85,12,14,13,12,12
"Aaron Martin","Spain",78,84,24000,12500000,22,178,68,85,36,71,77,40,75,75,54,67,77,76,69,76,77,72,64,61,81,60,55,60,78,63,64,43,74,77,78,77,11,14,10,12,12
"E. Bardhi","FYR Macedonia",78,84,23000,14000000,23,172,64,78,79,52,78,81,79,89,91,75,82,75,69,78,80,86,85,45,76,44,84,62,66,75,75,78,80,63,65,63,12,13,8,12,6
"N. Maksimovic","Serbia",78,84,22000,14000000,24,189,78,61,70,69,79,49,70,63,72,76,76,60,64,62,82,60,66,73,77,73,69,71,80,72,79,50,78,76,79,70,14,10,15,15,13
"Calero","Spain",78,84,23000,13000000,23,183,71,62,42,74,76,45,68,62,40,76,75,70,73,74,78,68,62,85,77,75,37,73,79,50,65,43,78,79,80,76,11,13,7,14,7
"J. Butland","England",78,83,29000,10000000,26,196,95,11,16,12,40,12,21,12,14,30,36,58,55,55,73,50,53,76,40,79,13,40,27,16,40,42,62,23,13,11,80,74,70,78,82
"Oliver Torres","Spain",78,83,17000,13500000,24,175,63,73,66,52,81,63,83,77,64,77,84,70,65,78,76,78,65,51,76,37,67,58,67,74,80,65,81,65,63,58,7,7,14,6,8
"G. Laborde","France",78,83,36000,14000000,25,181,78,64,79,81,74,77,76,68,52,61,74,70,74,73,77,64,78,85,80,80,69,72,24,77,68,66,72,37,29,16,14,15,9,14,9
"R. De Paul","Argentina",78,83,21000,14000000,25,178,70,77,70,50,80,57,84,80,68,75,83,78,72,77,73,73,79,58,69,64,79,56,28,76,80,70,78,24,44,40,13,12,10,7,14
"D. Selke","Germany",78,83,29000,14000000,24,194,84,40,80,78,63,76,71,65,29,44,76,74,78,68,78,69,79,70,74,76,65,82,29,81,58,72,66,52,39,17,12,11,7,11,14
"M. Lemina","Gabon",78,83,53000,13500000,25,184,85,72,57,68,82,68,80,72,68,77,81,69,75,68,73,72,81,46,75,73,78,70,72,71,74,68,68,72,73,69,12,9,15,8,16
"D. Origi","Belgium",78,83,77000,14000000,24,188,75,69,77,75,74,70,76,54,40,59,76,78,85,72,77,66,81,76,70,77,70,69,28,78,69,65,75,16,24,18,15,13,16,11,15
"E. Pulgar","Chile",78,83,45000,12500000,25,187,74,69,49,69,78,54,74,77,71,75,78,65,63,67,74,68,78,79,83,75,68,79,73,58,75,75,78,79,78,74,12,12,11,15,11
"A. Miranchuk","Russia",78,83,1000,14000000,23,182,74,72,67,57,81,62,80,74,78,74,80,73,75,77,75,74,65,58,75,64,65,43,36,72,82,64,76,22,28,29,8,8,9,12,15
"J. Musso","Argentina",78,83,14000,10000000,25,191,93,20,18,15,31,15,16,16,12,24,20,46,42,32,59,39,56,51,35,70,14,27,18,19,48,25,67,12,14,16,80,77,74,79,81
"Ruben Vezo","Portugal",78,83,23000,12500000,25,183,80,65,53,74,69,51,57,57,32,68,67,74,76,68,73,70,59,83,69,76,55,77,79,45,55,50,70,78,81,80,11,6,12,9,14
"B. Santamaria","France",78,83,21000,12500000,24,183,73,64,64,62,81,42,76,48,59,79,81,63,64,72,73,69,73,70,87,67,62,70,75,61,74,46,67,77,78,77,7,7,13,7,8
"Y. Mina","Colombia",78,83,59000,12500000,24,195,94,43,51,86,70,41,60,38,30,52,53,45,56,50,72,32,70,70,66,88,50,80,75,48,54,53,78,76,79,75,10,8,12,9,12
"Joan Jordan","Spain",78,83,17000,13500000,24,184,74,70,75,47,81,59,78,79,78,79,79,60,66,63,72,62,76,47,76,66,76,61,69,71,80,69,73,67,76,54,13,12,13,12,9
"L. Tousart","France",78,83,50000,12500000,22,185,83,56,42,76,77,43,60,36,45,68,71,64,60,59,75,68,76,81,85,82,58,85,82,51,67,48,68,77,82,74,11,15,16,10,15
"Y. Yazici","Turkey",78,83,35000,14000000,22,183,74,78,71,68,79,72,83,83,76,74,80,73,76,78,72,83,83,55,85,72,76,71,40,74,79,60,75,38,54,45,10,12,5,13,7
"M. Gregoritsch","Austria",78,82,26000,13500000,25,193,87,65,77,71,77,75,75,83,79,71,78,62,66,65,78,52,84,50,69,79,80,58,33,78,74,64,65,36,40,38,10,6,9,16,6
"J. Lascelles","England",78,82,37000,12000000,25,188,89,46,23,79,65,33,50,29,16,57,64,57,61,67,75,51,40,85,69,84,27,83,78,23,40,19,73,79,77,76,10,15,7,10,15
"Denis Suarez","Spain",78,82,25000,13000000,25,176,69,77,72,44,81,68,83,82,70,78,83,77,76,82,82,76,75,58,66,55,73,47,62,76,81,63,70,69,59,42,10,14,10,7,7
"K. Rekik","Netherlands",78,82,24000,12000000,24,186,84,43,33,77,72,35,57,35,35,69,67,65,68,65,74,64,60,77,67,78,31,85,73,41,59,41,71,77,80,84,9,9,14,14,9
"B. Traore","Burkina Faso",78,82,61000,13500000,23,181,73,64,75,64,74,75,83,78,74,69,86,85,89,88,72,69,76,78,73,64,66,60,45,78,73,69,73,38,40,37,11,7,7,13,12
"I. Amadou","France",78,82,46000,12000000,26,184,81,56,45,65,76,52,72,61,32,73,73,69,73,66,76,66,75,83,82,80,62,80,81,52,65,51,67,74,81,70,6,7,11,14,14
"M. Meyer","Germany",78,82,48000,13500000,23,173,68,74,63,37,84,60,83,74,69,75,82,75,61,89,76,88,60,60,76,53,60,80,70,72,80,60,78,71,66,62,8,12,13,11,14
"Jose Sa","Portugal",78,82,1000,9500000,26,192,85,18,15,14,30,17,17,12,21,20,20,42,48,62,76,40,51,70,34,72,18,20,18,17,55,11,32,14,19,15,79,76,68,76,80
"A. Selikhov","Russia",78,82,1000,10000000,25,188,85,16,14,17,33,15,19,14,15,35,25,33,48,35,65,50,59,70,24,65,19,21,25,15,58,19,58,15,18,18,79,81,78,77,75
"A. Mitrovic","Serbia",78,82,45000,13500000,24,187,82,29,79,85,70,77,66,42,52,43,76,58,66,67,77,60,82,82,64,90,70,89,14,82,68,70,76,25,24,13,15,12,6,7,13
"G. Maripan","Chile",78,82,23000,12000000,25,193,84,41,28,76,62,31,40,29,27,59,59,38,41,31,74,31,58,65,54,92,24,80,78,28,33,30,69,80,79,75,7,12,7,16,12
"E. Skhiri","Tunisia",78,82,24000,12000000,24,185,69,71,62,73,77,60,74,72,55,74,75,62,69,74,71,64,78,76,80,69,79,76,85,56,67,58,69,79,79,73,15,14,8,14,14
"D. Dumfries","Netherlands",78,82,16000,12000000,23,188,80,76,48,80,72,28,71,50,40,65,74,77,82,68,75,53,66,89,90,87,40,83,72,69,59,42,70,75,78,75,10,10,7,13,14
"Bruno Viana","Brazil",78,82,13000,12000000,24,187,79,44,37,80,73,39,52,44,42,63,63,65,66,53,76,58,57,73,78,74,37,78,78,34,40,52,68,82,79,74,7,7,14,6,6
"M. Sels","Belgium",78,81,24000,9000000,27,190,88,16,16,14,32,19,19,17,17,30,33,37,35,36,72,34,55,70,30,67,18,24,13,18,45,22,60,12,13,14,80,74,73,77,80
"A. Soumaoro","France",78,81,36000,11000000,27,187,91,57,31,78,75,35,47,31,36,56,61,55,64,53,64,65,48,84,68,91,42,81,74,34,32,40,75,75,78,76,6,10,8,16,14
"J. Veretout","France",78,81,42000,12500000,26,176,67,72,66,54,82,68,76,70,76,78,78,65,62,74,78,76,76,69,78,64,74,72,76,72,78,78,80,69,74,70,9,10,11,8,9
"V. Fischer","Denmark",78,81,23000,13000000,25,180,80,70,71,49,75,74,80,72,65,68,81,81,83,82,72,77,77,58,81,67,69,68,34,78,77,64,76,38,37,27,13,14,6,14,15
"S. Meite","France",78,81,43000,13000000,25,187,80,69,48,75,80,55,80,54,54,78,80,68,65,67,76,61,75,74,84,86,77,77,74,74,75,55,78,76,76,71,13,7,7,13,11
"J. Boetius","Netherlands",78,81,29000,13000000,25,178,76,72,69,61,75,72,81,80,60,67,79,85,85,89,75,75,71,68,83,60,73,47,35,77,79,61,72,41,43,36,15,12,9,11,9
"D. Berardi","Italy",78,81,50000,13000000,24,183,72,74,74,62,75,78,80,70,73,75,85,77,77,87,73,73,83,65,66,61,79,85,26,77,71,74,74,45,30,30,5,6,5,5,6
"R. Gagliardini","Italy",78,81,51000,12000000,25,190,77,64,54,73,78,68,75,68,38,75,77,62,60,63,72,62,76,63,85,68,73,74,78,68,73,40,74,77,78,76,12,6,8,7,9
"R. Saravia","Argentina",78,81,14000,11500000,26,176,75,73,34,59,73,32,78,57,58,68,74,89,91,78,75,73,51,83,92,70,37,84,75,72,60,52,69,74,74,73,12,12,16,12,15
"Ayoze Perez","Spain",78,81,79000,13000000,25,178,72,56,80,75,75,77,82,79,60,51,80,77,76,82,82,78,70,73,84,54,65,70,49,83,74,73,73,54,54,42,12,12,11,14,8
"H. Hateboer","Netherlands",78,81,50000,13000000,25,187,74,78,59,76,77,58,79,50,30,70,78,81,84,69,77,72,72,74,86,71,58,73,70,77,67,47,71,74,78,77,11,6,8,14,15
"B. Verbic","Slovenia",78,81,1000,13000000,25,179,70,70,74,65,75,68,81,63,65,69,80,85,81,78,79,81,70,72,76,72,71,74,32,80,75,63,76,54,34,33,15,11,13,6,12
"G. Martinez","Argentina",78,81,10000,13000000,26,172,75,74,71,32,70,74,83,78,73,68,80,90,86,90,78,85,80,53,75,61,80,48,26,75,72,80,78,47,28,30,6,9,13,12,15
"Rafael Toloi","Brazil",78,80,50000,10500000,28,185,75,44,28,76,66,30,58,41,70,68,66,63,64,62,78,66,75,76,57,67,62,78,82,40,50,64,78,77,82,80,11,12,16,16,8
"S. Duffy","Republic of Ireland",78,80,46000,11000000,27,193,76,38,41,83,62,30,45,37,33,64,56,46,47,32,77,35,55,89,63,85,49,85,78,49,44,45,67,78,78,75,9,11,16,8,12
"F. Lejeune","France",78,80,41000,10500000,28,189,89,51,50,75,75,42,62,47,41,70,73,46,51,55,72,57,75,78,69,83,66,81,81,46,46,43,77,80,76,73,11,15,15,12,7
"L. Dunk","England",78,80,46000,11000000,27,192,88,32,37,76,71,24,60,30,43,74,68,42,50,44,79,37,72,74,64,83,21,80,78,30,45,36,72,79,76,78,15,16,9,12,6
"Pedro Mendes","Portugal",78,80,33000,10500000,28,186,78,25,25,73,69,22,62,48,52,66,63,65,62,55,71,53,67,74,75,79,34,85,80,25,32,35,70,80,82,77,10,6,13,10,10
"K. Fortounis","Greece",78,80,1000,12500000,26,180,76,77,72,57,77,71,82,84,80,74,80,75,78,80,77,68,74,61,70,68,77,63,32,75,77,80,80,45,35,38,16,15,16,13,11
"C. Herelle","France",78,80,31000,11000000,26,188,75,60,40,80,77,35,58,49,42,68,68,61,67,62,74,62,59,80,76,73,49,74,78,49,45,47,72,77,79,78,15,10,14,12,13
"Omar Mascarell","Spain",78,80,30000,11500000,26,181,76,50,53,56,82,54,75,61,68,83,80,63,63,75,73,68,72,74,77,77,69,72,75,62,74,68,74,77,76,71,6,7,9,10,11
"Bruma","Portugal",78,80,19000,13000000,24,173,70,72,71,53,75,60,85,77,70,60,82,93,87,92,68,87,79,73,77,54,71,64,38,71,70,69,70,26,27,28,11,13,8,12,8
"S. Deli","Ivory Coast",78,80,23000,11000000,27,192,86,28,37,78,65,52,68,52,51,63,70,74,78,70,74,64,66,72,72,84,46,77,78,38,44,50,84,78,79,78,11,8,8,12,10
"M. Ngadeu","Cameroon",78,80,23000,10500000,28,190,93,38,44,73,69,38,66,64,26,67,67,66,69,67,73,67,66,72,71,92,63,78,79,58,62,50,78,76,80,77,5,11,6,11,5
"V. Wanyama","Kenya",78,79,77000,10500000,28,184,87,62,61,71,75,60,68,62,57,70,74,51,51,63,79,65,79,77,65,88,60,89,78,63,60,65,74,78,83,78,6,14,10,13,16
"C. Kabasele","Belgium",78,79,61000,10000000,28,188,84,47,49,78,66,52,59,34,27,57,66,64,74,57,73,57,57,83,68,80,44,78,76,50,36,53,64,78,77,80,14,11,6,14,16
"A. Delort","Algeria",78,79,37000,12000000,27,181,83,71,78,76,74,77,74,41,71,63,73,70,75,71,72,75,85,80,78,82,74,79,23,79,72,75,73,31,29,24,10,14,10,8,11
"Joel Robles","Spain",78,79,20000,8500000,29,195,90,12,11,12,15,13,18,11,20,26,25,46,50,43,66,39,57,61,25,69,11,23,22,13,41,15,54,11,11,14,83,72,76,73,84
"Sergio Oliveira","Portugal",78,79,15000,11500000,27,181,78,76,67,64,81,73,77,73,80,79,80,62,55,66,73,67,87,56,67,65,87,72,72,72,81,74,76,70,69,46,9,9,11,11,10
"V. Aboubakar","Cameroon",78,79,17000,12000000,27,184,82,57,78,74,72,78,80,80,67,68,79,72,76,72,74,63,80,75,69,85,73,76,33,76,77,74,84,44,23,19,8,10,9,7,8
"M. Uth","Germany",78,79,36000,12000000,27,185,72,67,79,69,72,74,77,60,57,68,77,77,76,74,84,67,84,71,75,67,82,61,39,79,71,74,76,34,39,36,9,11,8,9,11
"M. Doherty","Republic of Ireland",78,79,69000,10500000,27,182,87,79,61,71,74,46,74,63,45,69,76,71,76,67,73,68,76,82,92,72,62,75,74,73,66,48,68,71,77,75,15,8,12,11,9
"David Lopez","Spain",78,79,29000,10000000,29,183,81,55,53,75,78,56,64,48,46,65,76,53,55,47,72,52,77,73,64,85,60,78,80,59,69,50,69,77,79,74,9,12,7,11,15
"R. Freuler","Switzerland",78,79,52000,11500000,27,181,77,72,65,41,79,68,75,60,70,77,79,67,66,70,77,61,73,57,82,65,75,64,73,77,74,61,80,76,72,69,12,8,9,14,13
"D. Demme","Germany",78,79,45000,10500000,27,170,68,70,26,57,80,48,71,65,62,76,75,68,53,85,75,84,62,79,94,68,30,82,78,62,70,58,72,77,75,72,14,10,14,12,9
"A. Schwolow","Germany",78,79,20000,8500000,27,190,84,9,12,12,26,11,15,13,16,23,22,36,38,40,76,42,53,72,31,67,15,26,13,10,34,22,32,16,17,9,78,76,71,74,80
"J. Vestergaard","Denmark",78,79,51000,11000000,26,199,98,46,34,85,66,28,45,41,52,80,57,34,34,29,73,28,83,33,54,90,47,84,81,46,60,75,74,77,82,77,16,11,11,15,10
"F. Mollet","France",78,79,34000,12000000,27,170,67,72,69,41,80,71,79,74,80,77,80,78,75,79,71,88,85,66,76,49,80,63,52,71,81,63,73,54,49,44,9,13,12,12,15
"J. Hofmann","Germany",78,79,30000,12000000,26,176,70,78,69,40,77,62,77,69,71,72,79,75,76,77,76,77,68,61,82,60,68,43,57,78,77,68,71,49,44,40,6,6,10,10,10
"V. Grifo","Italy",78,79,36000,12000000,26,180,75,83,73,47,75,70,83,85,80,66,84,74,67,79,75,81,81,52,71,62,76,52,45,76,73,68,70,50,31,30,10,12,8,8,14
"F. Tait","France",78,79,43000,12000000,26,175,70,74,72,42,78,63,83,74,68,73,79,77,74,76,75,81,73,53,77,50,74,56,28,75,78,53,76,30,37,34,12,15,14,8,9
"D. Laxalt","Uruguay",78,79,40000,12000000,26,178,68,78,60,43,78,49,77,61,60,74,78,86,90,85,72,77,74,64,93,57,66,72,64,68,68,49,76,64,64,68,10,12,10,9,8
"Capa","Spain",78,79,23000,10500000,27,175,75,77,56,61,73,52,76,55,58,56,76,79,84,72,73,85,81,76,92,78,62,86,73,76,72,54,69,71,78,80,12,13,6,12,11
"Bastos","Angola",78,79,44000,10500000,27,180,77,36,30,74,70,31,62,35,28,65,68,79,78,62,72,76,49,70,61,82,41,75,79,31,28,50,67,80,80,77,13,8,11,12,12
"M. Diagne","Senegal",78,79,69000,12000000,27,191,86,56,81,85,65,68,60,67,48,45,74,66,65,39,76,30,81,53,70,89,70,48,19,82,60,72,74,30,25,29,7,10,10,10,8
"G. Ochoa","Mexico",78,78,41000,5500000,33,185,78,15,12,19,31,16,10,14,17,32,18,47,50,65,74,42,56,75,34,56,11,19,23,16,48,16,57,21,10,12,77,69,75,79,83
"C. Tevez","Argentina",78,78,19000,4500000,35,171,77,71,78,54,79,74,78,74,68,68,78,71,66,76,74,79,82,51,61,75,72,77,39,78,75,72,83,38,51,50,4,2,3,2,4
"J. Sosa","Argentina",78,78,34000,5000000,34,179,71,79,60,50,82,77,82,86,85,80,82,67,71,73,76,75,79,45,67,65,74,69,65,74,81,74,79,65,65,60,11,15,13,6,9
"Raffael","Brazil",78,78,33000,5500000,34,174,69,78,77,59,82,81,85,79,77,76,83,67,57,83,79,83,76,70,59,62,73,66,45,81,80,72,76,43,42,31,12,10,5,13,14
"Andres Fernandez","Spain",78,78,25000,6500000,32,187,82,17,13,12,35,13,14,24,12,40,18,58,55,60,75,65,51,77,41,74,12,40,26,14,41,21,56,22,14,15,80,75,68,76,79
"J. Pinola","Argentina",78,78,17000,2100000,36,180,79,66,41,74,76,48,67,65,55,70,68,66,69,65,75,67,73,81,67,80,59,83,78,59,58,54,69,79,77,74,8,12,11,7,11
"M. Zarate","Argentina",78,78,28000,8500000,32,175,77,66,80,55,75,75,86,81,82,58,85,78,77,88,76,73,81,70,72,66,83,66,38,78,68,72,73,55,30,30,7,16,16,6,12
"G. Hoarau","France",78,78,21000,4800000,35,192,85,66,83,85,76,76,70,66,59,64,73,43,50,67,78,62,79,79,67,91,69,63,34,82,69,81,77,32,53,35,1,1,1,1,1
"A. Granqvist","Sweden",78,78,4000,3800000,34,192,84,49,51,81,70,37,49,36,40,67,61,38,37,55,73,36,74,58,58,85,59,81,80,54,49,79,78,81,80,77,7,9,12,10,15
"R. Babel","Netherlands",78,78,64000,8000000,32,185,85,72,77,71,73,67,82,77,50,66,80,80,85,77,73,73,85,82,75,78,82,58,34,77,75,70,76,39,28,21,16,8,12,11,15
